x,J0_x,wall_time_s
3.750000000000000000e+01,7.172269891450619439e-02,6.299996376037597656e-02
3.766666666666666430e+01,8.857822021926642364e-02,6.099987030029296875e-02
3.783333333333332860e+01,1.029097695444315952e-01,6.299996376037597656e-02
3.800000000000000000e+01,1.143326549808267034e-01,6.200003623962402344e-02
3.816666666666666430e+01,1.225439857930405024e-01,7.899999618530273438e-02
3.833333333333332860e+01,1.273306957718318977e-01,6.299996376037597656e-02
3.850000000000000000e+01,1.285756243202315074e-01,6.299996376037597656e-02
3.866666666666666430e+01,1.262594884926631078e-01,6.299996376037597656e-02
3.883333333333332860e+01,1.204618018204808988e-01,6.300020217895507812e-02
3.900000000000000000e+01,1.113576499787184981e-01,7.899999618530273438e-02
3.916666666666666430e+01,9.921275735731444056e-02,1.110000610351561945e-01
3.933333333333332860e+01,8.437579253603272322e-02,7.800006866455078125e-02
3.950000000000000000e+01,6.726803597097169574e-02,7.899999618530273438e-02
3.966666666666666430e+01,4.837210553987700279e-02,9.400010108947753906e-02
3.983333333333332860e+01,2.821767055278904049e-02,9.400010108947753906e-02
4.000000000000000000e+01,7.366917397496684609e-03,8.000016212463378906e-02
4.016666666666666430e+01,-1.360083095846277047e-02,8.399987220764160156e-02
4.033333333333332860e+01,-3.410563248004681164e-02,7.800006866455078125e-02
4.050000000000000000e+01,-5.358265198824618825e-02,1.169998645782470981e-01
4.066666666666666430e+01,-7.149772101632015375e-02,7.899999618530273438e-02
4.083333333333332860e+01,-8.736213008952770087e-02,7.200002670288085938e-02
4.100000000000000000e+01,-1.007457114771189016e-01,1.029999256134033064e-01
4.116666666666666430e+01,-1.112886689312987953e-01,6.299996376037597656e-02
4.133333333333332860e+01,-1.187110833938805066e-01,7.800006866455078125e-02
4.150000000000000000e+01,-1.228202274450166942e-01,1.099998950958251953e-01
4.166666666666666430e+01,-1.235160125330592995e-01,7.800006866455078125e-02
4.183333333333332860e+01,-1.207927589580623934e-01,1.070001125335692943e-01
4.200000000000000000e+01,-1.147394194401819972e-01,8.899998664855957031e-02
4.216666666666666430e+01,-1.055365320168124982e-01,7.800006866455078125e-02
4.233333333333332860e+01,-9.345089776139878235e-02,1.259999275207520086e-01
4.250000000000000000e+01,-7.882793105767993413e-02,7.899999618530273438e-02
4.266666666666666430e+01,-6.208188142935792270e-02,1.080000400543213029e-01
4.283333333333332860e+01,-4.368403081897118817e-02,7.800006866455078125e-02
4.300000000000000000e+01,-2.414929866033713873e-02,9.400010108947753906e-02
4.316666666666666430e+01,-4.022174969480565160e-03,9.399986267089843750e-02
4.333333333333332860e+01,1.613864458282359901e-02,9.400010108947753906e-02
4.350000000000000000e+01,3.577564218276686747e-02,1.099998950958251953e-01
4.366666666666666430e+01,5.434807668874835906e-02,7.799983024597167969e-02
4.383333333333332860e+01,7.134635113872250800e-02,9.500002861022949219e-02
4.400000000000000000e+01,8.630664449923443338e-02,9.599995613098144531e-02
4.416666666666666430e+01,9.882311500005164229e-02,7.800006866455078125e-02
4.433333333333332860e+01,1.085586814585080967e-01,1.099998950958251953e-01
4.450000000000000000e+01,1.152549100234338958e-01,7.899999618530273438e-02
4.466666666666666430e+01,1.187379327020817027e-01,9.400010108947753906e-02
4.483333333333332860e+01,1.189234595145416962e-01,1.229999065399170061e-01
4.500000000000000000e+01,1.158186425488670068e-01,9.500002861022949219e-02
4.516666666666666430e+01,1.095214924836852011e-01,8.700013160705566406e-02
4.533333333333332860e+01,1.002178580559106996e-01,7.799983024597167969e-02
4.550000000000000000e+01,8.817601924268154978e-02,1.260001659393311102e-01
4.566666666666666430e+01,7.373947475726276568e-02,9.399986267089843750e-02
4.583333333333332860e+01,5.731485253757417908e-02,1.259999275207520086e-01
4.600000000000000000e+01,3.936483060688775182e-02,9.400010108947753906e-02
4.616666666666666430e+01,2.039065445214125957e-02,1.200001239776611051e-01
4.633333333333332860e+01,9.207859050807225276e-04,1.100001335144042969e-01
4.650000000000000000e+01,-1.850464534817463855e-02,1.280000209808349887e-01
4.666666666666666430e+01,-3.735656395889937198e-02,9.299993515014648438e-02
4.683333333333332860e+01,-5.509226375699938227e-02,8.200001716613769531e-02
4.700000000000000000e+01,-7.124872592289310802e-02,1.420001983642578125e-01
4.716666666666666430e+01,-8.537697682635883578e-02,8.699989318847656250e-02
4.733333333333332860e+01,-9.709348862351038778e-02,1.099998950958251953e-01
4.750000000000000000e+01,-1.060826939229442961e-01,7.899999618530273438e-02
4.766666666666666430e+01,-1.121055368705713012e-01,1.099998950958251953e-01
4.783333333333332860e+01,-1.150061185630373989e-01,9.400010108947753906e-02
4.800000000000000000e+01,-1.147147865131115940e-01,9.399986267089843750e-02
4.816666666666666430e+01,-1.112509100679538038e-01,1.100001335144042969e-01
4.833333333333332860e+01,-1.047211840150369944e-01,9.500002861022949219e-02
4.850000000000000000e+01,-9.531663981294420662e-02,9.400010108947753906e-02
4.866666666666666430e+01,-8.330737415455850836e-02,9.399986267089843750e-02
